category,product_name,description,variant_name,size_key,price_bs,product_kind,goes_to_kitchen,recipe_status,notes
Pizzas con maña,CHAQUEÑA,"SALSA DE TOMATE, MOZZARELLA,CALABRESA,CHIMICHURRI Y PIMIENTOS ASADOS",Personal,personal,38,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,CHAQUEÑA,"SALSA DE TOMATE, MOZZARELLA,CALABRESA,CHIMICHURRI Y PIMIENTOS ASADOS",Mediana,mediana,70,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,CHAQUEÑA,"SALSA DE TOMATE, MOZZARELLA,CALABRESA,CHIMICHURRI Y PIMIENTOS ASADOS",Familiar,familiar,81,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,LA CHURA,"SALSA BLANCA, MOZZARELLA, FRUTA DE TEMPORADA CARAMELIZADA, JAMON SERRANO, ALBACA FRESCA, MIEL Y MIXTURA DE PIMIENTA FRESCA",Personal,personal,40,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,LA CHURA,"SALSA BLANCA, MOZZARELLA, FRUTA DE TEMPORADA CARAMELIZADA, JAMON SERRANO, ALBACA FRESCA, MIEL Y MIXTURA DE PIMIENTA FRESCA",Mediana,mediana,71,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,LA CHURA,"SALSA BLANCA, MOZZARELLA, FRUTA DE TEMPORADA CARAMELIZADA, JAMON SERRANO, ALBACA FRESCA, MIEL Y MIXTURA DE PIMIENTA FRESCA",Familiar,familiar,87,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,PATA NEGRA,"SALSA DE TOMATE, MOZZARELLA, SALAME, ZUCCHINI SALTEADO, CEBOLLA ENCURTIDA Y JAMON SERRANO",Personal,personal,45,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,PATA NEGRA,"SALSA DE TOMATE, MOZZARELLA, SALAME, ZUCCHINI SALTEADO, CEBOLLA ENCURTIDA Y JAMON SERRANO",Mediana,mediana,78,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,PATA NEGRA,"SALSA DE TOMATE, MOZZARELLA, SALAME, ZUCCHINI SALTEADO, CEBOLLA ENCURTIDA Y JAMON SERRANO",Familiar,familiar,89,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
Pizzas con maña,DULCE FUEGO,"SALSA DE TOMATE, MOZZARELLA, PEPPERONI, JALAPEÑO ENCURTIDO, CORAZON DE ALCACHOFA, PARMESANO Y MIEL",Personal,personal,40,pizza,yes,pending_quantities,"La carta aporta ingredientes descriptivos, pero NO cantidades. Crear producto/variantes; no inventar receta."
